code,PI,name,pre_close,price,change,time
002180,2.3577235772357725,纳思达,29.780,30.240,1.54,09:41
600990,2.2742474916387962,四创电子,35.230,36.380,3.26,09:41
002376,3.1539145907473314,新北洋,14.300,14.560,1.82,09:42
600877,3.06852184320766,ST嘉陵,4.970,5.200,4.63,09:42
000409,3.062443302086483,*ST地矿,4.270,4.440,3.98,09:42
002396,3.0345911949685536,星网锐捷,19.690,19.900,1.07,09:42
002912,2.9389312977099236,中新赛克,96.750,98.810,2.13,09:42
300348,2.9140625,长亮科技,29.920,30.510,1.97,09:42
000939,2.8324214276625526,*ST凯迪,1.240,1.300,4.84,09:42
603659,2.8197674418604652,璞泰来,49.420,49.930,1.03,09:42
300684,2.6744186046511627,中石科技,84.160,86.600,2.90,09:42
002881,2.6621490803484993,美格智能,20.660,20.980,1.55,09:42
600990,2.609561752988048,四创电子,35.230,36.380,3.26,09:42
600498,2.609271523178808,烽火通信,30.980,31.970,3.20,09:42
300667,2.4716981132075473,必创科技,30.200,31.250,3.48,09:42
600311,2.438740544384819,荣华实业,3.090,3.130,1.29,09:42
300572,2.4166666666666665,安车检测,45.400,46.000,1.32,09:42
603228,2.3949579831932777,景旺电子,54.900,55.580,1.24,09:42
600845,2.39067055393586,宝信软件,26.210,26.950,2.82,09:42
600138,2.31237322515213,中青旅,16.000,16.370,2.31,09:42
300392,4.458029949168842,腾信股份,8.990,9.860,9.68,09:43
000856,3.5240464344941955,冀东装备,12.400,12.840,3.55,09:43
600877,3.2503544981881203,ST嘉陵,4.970,5.200,4.63,09:43
603398,3.130360205831904,邦宝益智,15.190,15.580,2.57,09:43
300572,3.0208333333333335,安车检测,45.400,46.000,1.32,09:43
002110,2.8128128128128127,三钢闽光,19.980,20.180,1.00,09:43
300326,2.7319587628865976,凯利泰,9.940,10.050,1.11,09:43
300348,2.567140600315956,长亮科技,29.920,30.350,1.44,09:43
300546,2.388392857142857,雄帝科技,25.830,26.360,2.05,09:43
300146,2.376788553259141,汤臣倍健,19.900,20.160,1.31,09:43
000939,2.3530040767225824,*ST凯迪,1.240,1.300,4.84,09:43
600311,2.336021505376344,荣华实业,3.090,3.130,1.29,09:43
603018,2.1745152354570636,中设集团,17.180,17.610,2.50,09:43
600498,2.1582733812949644,烽火通信,30.980,32.150,3.78,09:43
600763,2.142857142857143,通策医疗,52.480,53.200,1.37,09:43
300513,2.092391304347826,恒泰实达,22.860,23.530,2.93,09:43
300604,2.090909090909091,长川科技,40.110,41.090,2.44,09:43
600201,1.990740740740741,生物股份,15.820,15.990,1.07,09:43
300684,4.045936395759718,中石科技,84.160,86.800,3.14,09:44
300322,3.26982041173894,硕贝德,8.420,8.960,6.41,09:44
600877,3.2582525741974555,ST嘉陵,4.970,5.200,4.63,09:44
300523,3.206106870229007,辰安科技,65.000,65.830,1.28,09:44
603659,3.0827067669172936,璞泰来,49.420,49.940,1.05,09:44
300392,2.9975124378109452,腾信股份,8.990,9.610,6.90,09:44
300604,2.8061224489795915,长川科技,40.110,40.990,2.19,09:44
002410,2.8024337866857554,广联达,28.990,29.820,2.86,09:44
603066,2.7951388888888893,音飞储存,10.020,10.200,1.80,09:44
002110,2.6205103969754253,三钢闽光,19.980,20.180,1.00,09:44
000938,2.5498575498575495,紫光股份,45.180,47.390,4.89,09:44
002268,2.5405147759771207,卫 士 通,19.220,20.350,5.88,09:44
300348,2.3832684824902723,长亮科技,29.920,30.360,1.47,09:44
002180,2.3059360730593608,纳思达,29.780,30.100,1.07,09:44
600987,2.294429708222812,航民股份,9.270,9.390,1.29,09:44
002153,2.2862129144851657,石基信息,33.800,34.780,2.90,09:44
600520,2.272727272727273,文一科技,16.450,17.100,3.95,09:44
002049,2.2505307855626326,紫光国微,44.970,45.480,1.13,09:44
600682,3.7421842434347643,南京新百,11.640,11.900,2.23,09:45
002912,3.3333333333333335,中新赛克,96.750,98.850,2.17,09:45
000856,3.2672684458398744,冀东装备,12.400,12.820,3.39,09:45
300684,3.2051282051282053,中石科技,84.160,86.990,3.36,09:45
600877,3.18461881077871,ST嘉陵,4.970,5.210,4.83,09:45
300604,2.763157894736842,长川科技,40.110,40.800,1.72,09:45
002268,2.7127003699136867,卫 士 通,19.220,20.270,5.46,09:45
600845,2.7007299270072993,宝信软件,26.210,27.250,3.97,09:45
300523,2.607361963190184,辰安科技,65.000,65.980,1.51,09:45
600990,2.577319587628866,四创电子,35.230,36.100,2.47,09:45
300308,2.553763440860215,中际旭创,48.180,49.870,3.51,09:45
603615,2.4731182795698925,茶花股份,11.820,11.980,1.35,09:45
603605,2.359375,珀莱雅,41.570,42.200,1.52,09:45
300513,2.323943661971831,恒泰实达,22.860,23.450,2.58,09:45
000063,2.2873120645397873,中兴通讯,14.500,15.000,3.45,09:45
600521,2.279549718574109,华海药业,19.730,20.040,1.57,09:45
002618,2.2469528351881296,丹邦科技,18.030,18.270,1.33,09:45
002876,2.2162162162162162,三利谱,51.400,52.000,1.17,09:45
600201,4.271893077997207,生物股份,15.820,16.060,1.52,09:46
300308,3.7412587412587412,中际旭创,48.180,49.690,3.13,09:46
002281,3.4122448979591837,光迅科技,23.270,23.960,2.97,09:46
603676,3.321611253196931,卫信康,15.660,16.020,2.30,09:46
600877,3.2748431343936963,ST嘉陵,4.970,5.210,4.83,09:46
002912,3.2142857142857144,中新赛克,96.750,98.740,2.06,09:46
600299,3.177083333333334,安迪苏,11.830,11.960,1.10,09:46
603659,3.0963302752293576,璞泰来,49.420,50.000,1.17,09:46
300572,2.9591836734693877,安车检测,45.400,46.100,1.54,09:46
600990,2.819548872180451,四创电子,35.230,36.100,2.47,09:46
300513,2.7272727272727275,恒泰实达,22.860,23.410,2.41,09:46
300373,2.472826086956522,扬杰科技,28.680,29.040,1.26,09:46
300523,2.4285714285714284,辰安科技,65.000,65.880,1.35,09:46
600345,2.425373134328358,长江通信,25.030,25.810,3.12,09:46
002741,2.4025974025974026,光华科技,14.730,14.980,1.70,09:46
600138,2.3442367601246104,中青旅,16.000,16.290,1.81,09:46
300667,2.34375,必创科技,30.200,30.890,2.28,09:46
300604,2.3021582733812953,长川科技,40.110,40.750,1.60,09:46
000661,3.795180722891566,长春高新,212.750,214.960,1.04,09:47
002912,3.5714285714285716,中新赛克,96.750,98.400,1.71,09:47
600877,3.5397648151013463,ST嘉陵,4.970,5.200,4.63,09:47
